Target X,Target Y,Target Z,Control X,Control Y,Control Z,Actual position X,Actual position Y,Actual position Z
1.0963614982425285,-1.0240006977524214,0.9768346015912203,1.0853703459432982,-0.8748779504115463,0.9768346015912203,1.0230932743758325,-1.5021755904321799,0.9386045304136859
1.0811438159918196,-0.990399403562885,0.9651542714881396,1.0582152489108956,-0.843988845205758,0.9651542714881396,1.0424210030796874,-1.4708497505143354,0.9414553478790942
1.0630531489573696,-0.9576794414961922,0.9524784637360556,1.0296565689285093,-0.8117303085783161,0.9524784637360556,1.058956046739468,-1.439525195241828,0.9434956431657766
1.0424351207117633,-0.9257898861214549,0.9389578886446651,0.9961471797931165,-0.7856010322514174,0.9389578886446651,1.0748896120200289,-1.4042780458258188,0.94411641693222
1.019635354827585,-0.8946798120077822,0.9247432565236642,0.9624216225022821,-0.7589654440017787,0.9247432565236642,1.0886109114687914,-1.367143294861911,0.9437259405662098
0.994999474877419,-0.8642982937242857,0.9099852776827492,0.9287229362320526,-0.7299660006416318,0.9099852776827492,1.0990395481747828,-1.3310642752141186,0.9422217572050109
0.9688731044338506,-0.8345944058400756,0.8948346624316164,0.8933111089237387,-0.7069545779555865,0.8948346624316164,1.1070285419780626,-1.2918296438203234,0.939007684082824
0.9416018670694636,-0.8055172229242626,0.8794421210799626,0.8584978333647607,-0.6822530799739794,0.8794421210799626,1.1118014603378596,-1.2520552082554404,0.9346940732754718
0.9135313863568425,-0.7770158195459571,0.8639583639374833,0.8247367587543901,-0.6549238900320216,0.8639583639374833,1.112757710103649,-1.2144234463498904,0.9289300846757512
0.8850072858685722,-0.7490392702742696,0.8485341013138754,0.7919816865593162,-0.6329194277202774,0.8485341013138754,1.1098164574501588,-1.1748296313188278,0.9210105991667705
0.8563751891772364,-0.7215366496783101,0.8333200435188346,0.7600225207346216,-0.6085227022293341,0.8333200435188346,1.103422758426622,-1.136001502365644,0.9117165053064002
0.8279807198554205,-0.6944570323271904,0.8184669008620579,0.7288559964918567,-0.5815246255833912,0.8184669008620579,1.0942670987884586,-1.1001472318896004,0.9017458176509975
0.8001695014757089,-0.6677494927900203,0.8041253836532413,0.7013776791914023,-0.5594603831264515,0.8041253836532413,1.0809988870275125,-1.0631181921946193,0.8904947647966628
0.7732862031511722,-0.6413630396404837,0.7904457240436393,0.6758322350443625,-0.5346700161880344,0.7904457240436393,1.0642733982731825,-1.0275643649151363,0.8775731985204605
0.747537475541263,-0.6152371382640967,0.7775090106663263,0.6514273782780398,-0.5073308037906739,0.7775090106663263,1.0453046235299042,-0.9953199534549239,0.8649019565141336
0.7228488540734442,-0.5892918165328731,0.7652555010144516,0.632302083020239,-0.4847552569104916,0.7652555010144516,1.0215518687210183,-0.9620759510045721,0.8510571135914357
0.6991116748249198,-0.5634447376289881,0.7536083196302122,0.6125938846578266,-0.4594958308960818,0.7536083196302122,0.9954353708362023,-0.9301624616325306,0.8369873420774153
0.6762172738728943,-0.5376135647346186,0.7424905910558056,0.59218530174051,-0.4316662804017234,0.7424905910558056,0.9687985570603304,-0.9012020326857246,0.8237832295811849
0.6540569872945717,-0.51171596103194,0.7318254398334284,0.5759574532396853,-0.40804832600147306,0.7318254398334284,0.9391960774809737,-0.8711437325562268,0.8098659862884096
0.6325221511671562,-0.48566958970312807,0.7215359905052778,0.5588185300062406,-0.38188667903826645,0.7215359905052778,0.9085550060497081,-0.8419854990793961,0.7966303721875044
0.6115041015678512,-0.45939211393035834,0.7115453676135504,0.539958380121467,-0.35347183135203536,0.7115453676135504,0.8788722372054943,-0.8149584154338899,0.7844790207023781
0.5908941745738615,-0.43280119689580704,0.7017766957004438,0.5250593621389616,-0.3277615673857205,0.7017766957004438,0.8472041346296638,-0.7871134515216671,0.772027845118296
0.5705837062623903,-0.40581450178164896,0.6921530993081542,0.5076544003207702,-0.29957423912515324,0.6921530993081542,0.8161523724142536,-0.7600856689219226,0.7598894731172516
0.5504640327106427,-0.37834969177006145,0.6825977029788796,0.48762024810383103,-0.2689568371624088,0.6825977029788796,0.787704379448085,-0.7350143238838509,0.7483196860392552
0.5304264899958226,-0.35032443004321956,0.6730336312548164,0.4718395214653816,-0.24074484805788735,0.6730336312548164,0.7579859632788098,-0.7089738255040824,0.7364481918589092
0.5103624141951337,-0.3216563797832991,0.6633840086781618,0.4539616327697914,-0.20986408420755892,0.6633840086781618,0.7287933793553872,-0.6835346036576091,0.7249999455596462
0.49016314138578015,-0.2922632041724758,0.6535719597911128,0.4328309634187785,-0.17644637888344714,0.6535719597911128,0.7022886360990533,-0.659720934298121,0.714245357422926
0.4697200076449662,-0.2620625663929256,0.6435206091358664,0.4146434977822064,-0.14552785852145766,0.6435206091358664,0.6752600111649916,-0.6343644417753203,0.7028106153072242
0.4489243490498953,-0.23097212962682356,0.6331530812546193,0.39365006380710665,-0.1107231978896916,0.6331530812546193,0.6495507250212907,-0.6098573658726133,0.6914888545566649
0.4276675016777726,-0.19890955705634678,0.6223925006895692,0.3694423965917165,-0.07349407685765394,0.6223925006895692,0.62678402556812,-0.5868331850905641,0.6811883024231618
0.4058718357317482,-0.1658203031883538,0.6111948322633207,0.347164617756209,-0.0389472107668665,0.6111948322633207,0.6041977910131994,-0.5618177804619728,0.6705964812487675
0.38362145240227236,-0.13179465400931872,0.5996871843642039,0.3215364989901258,-0.002096543298440723,0.5996871843642039,0.5839375360127321,-0.5361758755358549,0.6596146327094768
0.36105296825534156,-0.09696992347277288,0.5880522370973613,0.29437657719098265,0.03723357481294605,0.5880522370973613,0.566431794928279,-0.5112658617898922,0.6490474001286538
0.33830302752351216,-0.061483450307888175,0.5764726998446627,0.2694932374213733,0.07415830945485954,0.5764726998446627,0.5492173481197247,-0.4845124488308628,0.6378755747814823
0.31550827443934004,-0.02547257324383632,0.5651312819879762,0.2436443993569138,0.11311491772754977,0.5651312819879762,0.5330299634229083,-0.4574852574702677,0.6268277908288681
0.29280535323538115,0.01092536899021168,0.5542106929091708,0.2171865068127159,0.15434489117370803,0.5542106929091708,0.5182980727786377,-0.4317147897866558,0.6166740022976647
0.2703309081441923,0.04757303766508236,0.5438936419901156,0.1932153761357672,0.19109235036839411,0.5438936419901156,0.5031064862608705,-0.40331886347351703,0.6056814774717943
